StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Condition,RFSF1,RFSF2,RFSF3,RFSF4,RFSF5,RFSF6,RFSF7,RFSF8,RFSF9,RFSF10,RFSF11,RFSF12,RFSF13,RFSF14,RFSF15,RFSF16,RFSF17,RFSF18,RFSF19,RFSF20,RFSF21,RFSF22,RFSF23,RFSF24,RFSF25,RFSF26,RFSF27,RFSF28,RFSF29,RFSF30,Q94,Q95,Q96,Q97,Q98,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q171,Q172,Q173,Q174,Q175,Q182,Q148,Q149,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q172,Q176,Q178,Q179,Q180,Q181,Q54,Q55,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q66,Q64,Q65,Q7,Q1,Q2,Q183,Q9,Q10,Q11,Q11_2_TEXT,Q12,Q71,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q159,Q160,Q161,Q162,Q53,Q54,Q54_6_TEXT,Q56,Q57,Q61,Q62,Q62_3_TEXT,Q63,Q51,Q185,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,,Checks dating partner's cell phone without permission,Checks dating partner's social media contacts,Checks dating partner's email without permission,Often uses the Internet to check where dating partner is,Calls multiple times a day to see what dating partner is doing,Tells dating partner not to hang out with friends,Makes decisions for dating partner,Tells dating partner how to dress,Tells dating partner not to spend time with family,Interferes with dating partner's ability to study,Makes negative comments about dating partner's body,Constantly insults dating partner,Tells dating partner he cannot do anything right,Calls dating partner names,Threatens to share embarrassing photo of dating partner,Threatens to harm dating partner's property,Can make dating partner afraid with looks,Pressures dating partner into sexual activities,Yells at dating partner,Has an explosive temper,Accuses dating partner of flirting with other people,Accuses dating partner of cheating,Accuses dating partner of not loving her,Is Extremely Jealous,Is Possessive,Surprises dating partner with a gift,Supports dating partner in his aspirations,Encourages dating partner to try new things,Listens to dating partner when he has something on his mind,Tells dating partner when they are feeling upset,Checks dating partner's cell phone without permission,Checks dating partner's social media contacts,Checks dating partner's email without permission,Often uses the Internet to check where dating partner is,Calls multiple times a day to see what dating partner is doing,Tells dating partner not to hang out with friends,Makes decisions for dating partner,Tells dating partner how to dress,Tells dating partner not to spend time with family,Interferes with dating partner's ability to study,Makes negative comments about dating partner's body,Constantly insults dating partner,Tells dating partner she cannot do anything right,Calls dating partner names,Threatens to share embarrassing photo of dating partner,Threatens to harm dating partner's property,Can make dating partner afraid with looks,Pressures dating partner into sexual activities,Yells at dating partner,Has an explosive temper,Accuses dating partner of flirting with other people,Accuses dating partner of cheating,Accuses dating partner of not loving him,Is Extremely Jealous,Is Possessive,Surprises dating partner with a gift,Supports dating partner in her aspirations,Encourages dating partner to try new things,Listens to dating partner when she has something on her mind,Tells dating partner when they are feeling upset,"For this question, just select ""Strongly agree"".",Checks dating partner's cell phone without permission,Checks dating partner's social media contacts,Checks dating partner's email without permission,Often uses the Internet to check where dating partner is,Calls multiple times a day to see what dating partner is doing,Tells dating partner not to hang out with friends,Makes decisions for dating partner,Tells dating partner how to dress,Tells dating partner not to spend time with family,Interferes with dating partner's ability to study,Makes negative comments about dating partner's body,Constantly insults dating partner,Tells dating partner she or he cannot do anything right,Calls dating partner names,Threatens to share embarrassing photo of dating partner,Threatens to harm dating partner's property,Can make dating partner afraid with looks,Pressures dating partner into sexual activities,Yells at dating partner,Has an explosive temper,Accuses dating partner of flirting with other people,Accuses dating partner of cheating,Accuses dating partner of not loving him or her,Is Extremely Jealous,Is Possessive,Surprises dating partner with a gift,Supports dating partner in their aspirations,Encourages dating partner to try new things,Listens to dating partner when they have something on their mind,Tells dating partner when they are feeling upset,Many women have a quality of purity that few men posses.,Women should be cherished and protected by men.,Women seek to gain power by getting control over men.,Every man ought to have a woman whom he adores.,Men are incomplete without women.,Women exaggerate problems they have at work.,"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.","When women lose to men in a fair competition, they typically complain about being discriminated against.",Many women get a kick out of teasing men by seeming sexually available and then refusing male advances.,"Women, compared to men, tend to have a superior moral sensibility.",Men should be willing to sacrifice their own well being in order to provide financially for the women in their lives.,Feminists are making unreasonable demands of men.,How much relationship experience would you say you have had?,What is your relationship status?,How long have you been in your relationship?,"This color test is simple. When asked for your favorite color, write in ‘olive.’
Based on the text you read above, what color have you been asked to enter?",How knowledgeable would you say you are about issues related to intimate partner violence/relationship abuse?,Would you say you look out for warning signs of abuse when first getting to know a potential romantic partner?,"Other than the online training you had at USF, have you ever been taught about healthy vs unhealthy relationship behaviors in a formal setting? - Selected Choice","Other than the online training you had at USF, have you ever been taught about healthy vs unhealthy relationship behaviors in a formal setting? - Yes (Please specify where below) - Text",How often do you see information about intimate partner violence/relationship abuse outside of USF?,I honestly feel I'm just more deserving than others.,Great things should come to me.,"If I were on the Titanic, I would deserve to be on the first lifeboat!",I demand the best because I'm worth it.,I do not necessarily deserve special treatment,I deserve more things in my life.,People like me deserve an extra break now and then.,Things should go my way.,I feel entitled to more of everything.,I feel entitled to know my partner's whereabouts and friends.,I feel entitled to have input into my partner's behaviors.,I feel entitled to criticize my partner.,I feel entitled to warn my partner if I don't like their behavior.,"Now we would like to ask a few personal questions about you.

What is your age?",What is your gender? - Selected Choice,What is your gender? - Other (write in) - Text,What is your racial/ethnic heritage? (Please select all that apply),What is your sexual orientation?,How religious are you?,"If you are religious, what is your denomination, if any? - Selected Choice","If you are religious, what is your denomination, if any? - Denomination: - Text",How often do you attend church or your place of worship?,Are you in a sorority or fraternity?,What is your major at USF?,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}",,"{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID178""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID184""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID196""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID190""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID80""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID197_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_2_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_6_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_3_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID65""}","{""ImportId"":""QID199_TEXT""}","{""ImportId"":""id""}"
12/9/21 17:24,12/9/21 17:34,1,,100,558,1,12/9/21 17:34,R_2TtVBdOI1Zspsf1,,,,,43.57800293,-116.2953949,preview,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,,,,,,,1,1,4,3,2,4,3,4,4,3,1,1,4,4,4,4,1,4,3,4,4,4,2,4,4,,,,,,1,3,1,3,1,4,1,1,2,1,1,2,4,2,4,,3,2,1,,2,1,7,4,7,7,4,1,7,2,2,1,1,4,24,1,,1,1,1,1,,2,2,,
1/20/22 13:41,1/20/22 13:51,0,131.247.226.57,100,605,1,1/20/22 13:51,R_em4dmUgHxbck2sx,,,,,28.06190491,-82.40440369,anonymous,EN,0.899999976,1,3,3,4,3,2,2,3,4,3,3,2,4,4,1,4,3,4,4,4,2,2,2,2,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,4,4,4,1,3,4,4,4,4,4,4,3,4,4,4,4,1,4,4,1,2,4,3,3,3,3,3,3,4,6,2,6,5,4,2,2,1,4,3,3,4,2,4,olive,2,2,1,,2,4,4,2,4,6,4,5,4,2,3,5,4,6,18,1,,1,1,1,1,,1,2,psychology ,
1/20/22 13:42,1/20/22 13:52,0,131.247.226.127,100,628,1,1/20/22 13:52,R_2ASDpsrtuhXyIQg,,,,,28.06190491,-82.40440369,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,3,3,3,4,3,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,1,1,1,1,1,5,4,4,4,4,2,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3,3,3,3,3,4,5,3,4,4,2,3,3,4,5,3,2,3,2,4,Olive,4,1,2,School,4,1,4,4,7,4,5,2,5,3,4,5,3,2,19,2,,4,1,,3,Catholic,4,2,Psychology,
1/20/22 15:20,1/20/22 15:53,0,131.247.226.42,100,2002,1,1/20/22 15:53,R_2ymGJXIdCWFoAdL,,,,,28.06190491,-82.40440369,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,2,4,4,3,4,2,4,4,3,3,1,4,3,4,4,3,3,4,3,3,3,1,1,1,1,1,5,2,2,4,2,2,4,4,4,4,4,2,4,2,4,4,4,4,4,4,2,2,4,2,2,2,4,1,3,1,1,4,6,2,5,1,2,1,1,1,5,2,1,3,1,,olive,3,2,2,"home, social media",3,3,6,7,3,6,4,6,3,3,1,1,1,6,19,2,,4,1,2,1,,2,2,social work,
1/20/22 15:50,1/20/22 16:19,0,131.247.226.220,100,1731,1,1/20/22 16:19,R_2SwrWagOfXJe6Xp,,,,,28.06190491,-82.40440369,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,2,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,5,2,2,4,3,3,2,2,3,4,1,4,4,2,4,3,2,4,4,3,2,2,2,3,3,3,3,3,3,1,3,3,6,5,6,2,4,4,1,4,5,1,1,2,1,,olive,3,2,1,,2,4,4,1,4,6,2,4,2,2,5,6,4,5,19,1,,2,1,3,3,christian,2,2,criminology,
1/20/22 16:13,1/20/22 16:22,0,47.200.17.189,100,578,1,1/20/22 16:22,R_3PM5Kv4sfmdElTd,,,,,28.11470032,-82.36779785,anonymous,EN,1,1,3,3,2,3,2,2,2,3,3,2,3,2,3,1,3,4,3,3,3,2,3,3,2,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,1,1,3,3,1,4,4,3,4,4,2,2,2,4,3,2,2,2,1,,olive,2,1,1,,3,3,4,2,3,5,4,4,4,3,3,2,2,5,19,1,,6,1,1,1,,1,2,Psychology,
1/20/22 17:50,1/20/22 18:09,0,65.35.58.46,100,1173,1,1/20/22 18:09,R_82Ik4Af27mBwunn,,,,,27.80439758,-82.27590179,anonymous,EN,1,1,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,3,3,3,3,3,1,4,1,1,1,1,1,1,1,2,1,1,2,2,4,olive,5,2,2,Child and Adolescent Social Devl class and other courses,3,1,4,1,5,7,4,1,4,1,2,2,1,7,20,2,,"1,3,7",1,3,1,,1,2,psychology,
1/20/22 18:28,1/20/22 18:39,0,47.204.244.228,100,694,1,1/20/22 18:39,R_3iRal7u2N186BII,,,,,28.13549805,-82.46050262,anonymous,EN,0.899999976,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,2,4,4,3,2,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,4,4,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,3,4,4,5,1,2,5,4,4,5,3,2,1,1,,olive,3,2,1,,3,5,7,2,6,5,6,6,5,3,4,3,2,3,19,2,,1,1,3,1,,3,2,Finance,
